unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
NR,TOTAL,T,CH07	322276 	324851 	328580 	332736 	335720 	333753 b	336943 	341652 	346539 	350363 	351946 	354375 
NR,TOTAL,T,CY00	744013 	757916 	776333 	796930 	819140 b	839751 	862011 	865878 	858000 	847008 	848319 	854802 
NR,TOTAL,T,CZ01	1169892 	1173933 	1195521 	1214300 	1227932 	1234037 	1241664 	1246780 	1243201 	1259079 	1267449 	1280508 
NR,TOTAL,T,CZ02	1157881 	1174964 	1201524 	1230405 	1247330 	1264986 	1279345 	1291816 	1302336 	1315299 	1326876 	1338982 
NR,TOTAL,T,CZ03	1176931 	1181719 	1191156 	1202477 	1205834 	1207027 	1207847 	1209298 	1210176 	1212423 	1214450 	1217411 
NR,TOTAL,T,CZ04	1121590 	1120755 	1130335 	1134887 	1133425 	1132252 	1131191 	1128490 	1125429 	1123265 	1120654 	1118126 
NR,TOTAL,T,CZ05	1481215 	1485575 	1494631 	1503865 	1506467 	1508735 	1508867 	1507980 	1506503 	1506813 	1507209 	1508527 
NR,TOTAL,T,CZ06	1643258 	1646898 	1657593 	1666778 	1671993 	1675872 	1678250 	1679857 	1680287 	1682748 	1684500 	1687764 
NR,TOTAL,T,CZ07	1227045 	1227080 	1229618 	1230437 	1229931 	1229117 	1227668 	1225302 	1222655 	1220972 	1219394 	1217623 
NR,TOTAL,T,CZ08	1245765 	1243309 	1243044 	1242634 	1239176 	1234705 	1230613 	1226602 	1221832 	1217676 	1213311 	1209879 
NR,TOTAL,T,DE11	4007373 	4005380 	4007095 	4006313 	4000848 	3910637 b	3924922 	3947568 	3972881 	4008288 	4069533 	4098278 
NR,TOTAL,T,DE12	2732455 	2734260 	2739274 	2740164 	2740503 	2663588 b	2671524 	2686573 	2702831 	2721266 	2761977 	2779314 
NR,TOTAL,T,DE13	2190727 	2193178 	2196410 	2195681 	2196018 	2142723 b	2150906 	2162340 	2174500 	2191622 	2224535 	2239734 
NR,TOTAL,T,DE14	1805146 	1805935 	1806976 	1807348 	1807552 	1761557 b	1765089 	1772630 	1781066 	1795468 	1823573 	1834567 
NR,TOTAL,T,DE21	4238195 	4279112 	4313446 	4335137 	4346465 	4313946 b	4363176 	4415649 	4469342 	4519979 	4588944 	4633323 
NR,TOTAL,T,DE22	1196923 	1193820 	1194138 	1191910 	1189194 	1172475 b	1175923 	1181472 	1189153 	1197558 	1212119 	1219397 
NR,TOTAL,T,DE23	1089543 	1087939 	1086684 	1083780 	1081417 	1071424 b	1072091 	1074738 	1077991 	1082761 	1092339 	1098378 
NR,TOTAL,T,DE24	1101390 	1094525 	1088845 	1082516 	1076400 	1065322 b	1061573 	1058711 	1056365 	1055955 	1059358 	1062394 
NR,TOTAL,T,DE25	1712275 	1712622 	1714123 	1712405 	1710145 	1679849 b	1688414 	1698515 	1707376 	1715195 	1738686 	1750059 
NR,TOTAL,T,DE26	1341481 	1337876 	1334767 	1327497 	1321957 	1302144 b	1299076 	1297727 	1297992 	1298849 	1306048 	1309209 
NR,TOTAL,T,DE27	1788919 	1786764 	1788329 	1786483 	1784753 	1778244 b	1783119 	1792759 	1806025 	1821271 	1846020 	1857991 
NR,TOTAL,T,DE30	3395189 	3404037 	3416255 	3431675 	3442675 	3278346 b	3326002 	3375222 	3421829 	3469849 	3520031 	3574830 
NR,TOTAL,T,DE40	2559483 	2547772 	2535737 	2522493 	2511525 	2461242 b	2453180 	2449511 	2449193 	2457872 	2484826 	2494648 
NR,TOTAL,T,DE50	663467 	663979 	663082 	661866 	661716 	651467 b	652182 	654774 	657391 	661888 	671489 	678753 
NR,TOTAL,T,DE60	1743627 	1754182 	1770629 	1772100 	1774224 	1705700 b	1718187 	1734272 	1746342 	1762791 	1787408 	1810438 
NR,TOTAL,T,DE71	3778124 	3772906 	3780232 	3784767 	3792941 	3734199 b	3763611 	3791381 	3822479 	3863818 	3922369 	3951234 
NR,TOTAL,T,DE72	1061323 	1057553 	1053259 	1048683 	1044269 	1027159 b	1025525 	1023277 	1023150 	1029020 	1040091 	1043643 
NR,TOTAL,T,DE73	1252907 	1244900 	1239064 	1231503 	1224741 	1208050 b	1204635 	1201823 	1199796 	1201050 	1213712 	1218211 
NR,TOTAL,T,DE80	1707266 	1693754 	1679682 	1664356 	1651216 	1614789 b	1606899 	1600327 	1596505 	1599138 	1612362 	1610674 
NR,TOTAL,T,DE91	1650435 	1641776 	1633318 	1623649 	1616720 	1579623 b	1575968 	1574527 	1574936 	1579754 	1598164 	1595609 
NR,TOTAL,T,DE92	2163919 	2160253 	2156841 	2149181 	2142440 	2093945 b	2093431 	2094931 	2099079 	2108413 	2132290 	2139976 
NR,TOTAL,T,DE93	1704133 	1702938 	1701132 	1696643 	1693654 	1669999 b	1667127 	1667332 	1670199 	1677715 	1699969 	1703945 
NR,TOTAL,T,DE94	2475459 	2477718 	2480393 	2477771 	2476001 	2435261 b	2437727 	2442205 	2446345 	2460857 	2496176 	2506155 
NR,TOTAL,T,DEA1	5226648 	5217129 	5208288 	5191042 	5172839 	5081231 b	5077103 	5081061 	5088748 	5108290 	5173623 	5190790 
NR,TOTAL,T,DEA2	4378622 	4384669 	4391062 	4386271 	4383044 	4282911 b	4299064 	4315912 	4333015 	4361724 	4422371 	4439416 
NR,TOTAL,T,DEA3	2622623 	2619372 	2614361 	2605365 	2597636 	2568358 b	2572221 	2572390 	2574148 	2580664 	2614229 	2619376 
NR,TOTAL,T,DEA4	2069758 	2065413 	2059198 	2050638 	2043212 	2031337 b	2027126 	2025415 	2024392 	2029648 	2057996 	2054205 
NR,TOTAL,T,DEA5	3760454 	3742162 	3723712 	3699748 	3676032 	3581355 b	3569424 	3559551 	3551553 	3557772 	3597297 	3586313 
NR,TOTAL,T,DEB1	1521494 	1513939 	1507919 	1499457 	1490711 	1486160 b	1480166 	1476237 	1474378 	1477202 	1488308 	1492187 
NR,TOTAL,T,DEB2	513363 	515819 	515972 	515322 	513794 	518554 b	518370 	518289 	519136 	521863 	532715 	528728 
NR,TOTAL,T,DEB3	2023986 	2023102 	2021752 	2013572 	2008170 	1989471 b	1991497 	1995752 	2000852 	2012517 	2031780 	2045138 
NR,TOTAL,T,DEC0	1050293 	1043167 	1036598 	1030324 	1022585 	1001879 b	997855 	994287 	990718 	989035 	995597 	996651 
NR,TOTAL,T,DED2	1662482 	1657114 	1646716 	1638111 	1631486 	1594568 b	1591710 	1591320 	1590927 	1592765 	1602754 	1600155 
NR,TOTAL,T,DED4	: 	: 	: 	: 	: 	1505254 b	1491442 	1480210 	1468954 	1463341 	1465612 	1454144 
NR,TOTAL,T,DED5	: 	: 	: 	: 	: 	966434 b	971030 	978674 	986504 	999168 	1016485 	1027484 
NR,TOTAL,T,DEE0	2469716 	2441787 	2412472 	2381872 	2356219 	2297386 b	2276736 	2259393 	2244577 	2235548 	2245470 	2236252 
NR,TOTAL,T,DEF0	2832950 	2834254 	2837373 	2834260 	2832027 	2800134 b	2802266 	2806531 	2815955 	2830864 	2858714 	2881926 
NR,TOTAL,T,DEG0	2334575 	2311140 	2289219 	2267763 	2249882 	2195344 b	2181603 	2170460 	2160840 	2156759 	2170714 	2158128 
NR,TOTAL,T,DK01	: 	1636749 	1645825 	1662285 	1680271 	1699387 	1714589 	1732068 	1749405 	1768125 	1789174 	1807404 
NR,TOTAL,T,DK02	: 	816118 	819427 	821252 	820564 	819763 	817907 	816359 	816726 	820480 	827499 	832553 
NR,TOTAL,T,DK03	: 	1189817 	1194659 	1199667 	1200277 	1200656 	1201342 	1201419 	1202509 	1205728 	1211770 	1217224 
NR,TOTAL,T,DK04	: 	1227428 	1237041 	1247732 	1253998 	1260993 	1266682 	1272510 	1277538 	1282750 	1293309 	1304253 
NR,TOTAL,T,DK05	: 	576972 	578839 	580515 	579628 	579829 	579996 	580272 	581057 	582632 	585499 	587335 
NR,TOTAL,T,EE00	1350700 	1342920 	1338440 	1335740 	1333290 	1329660 	1325217 	1320174 	1315819 	1314870 b	1315944 	1315635 
NR,TOTAL,T,EL30	3971441 	3982602 	3990727 	3999457 	4002871 	3992912 	3963887 	3912849 	3863763 	3822843 	3781274 	3773559 
NR,TOTAL,T,EL41	199187 	198191 	198675 	199517 	200179 	200831 	200591 	199478 	198581 	197695 	196654 	203700 
NR,TOTAL,T,EL42	324712 	327471 	329525 	331815 	332652 	333983 	334780 	334652 	334802 	334865 	334791 	338383 
NR,TOTAL,T,EL43	604682 	608988 	613144 	618317 	623113 	627144 	629367 	630085 	630889 	631513 	631812 	632674 
NR,TOTAL,T,EL51	600034 	602965 	605411 	608639 	610112 	611573 	612074 	610102 	608214 	606490 	604504 	602799 
NR,TOTAL,T,EL52	1890244 	1899242 	1905904 	1913980 	1921906 	1925437 	1922590 	1912624 	1903360 	1893878 	1883339 	1880122 
NR,TOTAL,T,EL53	287215 	286855 	286696 	286672 	286450 	285899 	284061 	281324 	278706 	276423 	273843 	271488 
NR,TOTAL,T,EL54	342916 	343786 	344410 	345167 	345960 	346503 	345437 	343128 	341046 	339142 	336834 	335250 
NR,TOTAL,T,EL61	741765 	743210 	743919 	745569 	746976 	747690 	745839 	741593 	737686 	733663 	729442 	725874 
NR,TOTAL,T,EL62	206703 	207149 	207508 	208161 	208675 	209221 	209131 	208241 	207664 	207059 	206141 	205431 
NR,TOTAL,T,EL63	696051 	694901 	693549 	692990 	692269 	690904 	687935 	682583 	677727 	673263 	668258 	663970 
NR,TOTAL,T,EL64	554659 	555149 	555577 	557291 	559655 	561693 	561670 	560093 	559214 	557753 	555830 	555761 
NR,TOTAL,T,EL65	585107 	585499 	585892 	587170 	588471 	589602 	589044 	586863 	585155 	583431 	581026 	579182 
NR,TOTAL,T,ES11	2730107 	2741074 	2754766 	2767469 	2772466 	2773411 	2771916 	2761989 	2747226 	2734656 	2720102 	2710216 
NR,TOTAL,T,ES12	1063488 	1065287 	1071079 	1076276 	1077102 	1075869 	1074308 	1067797 	1058975 	1049875 	1040925 	1034302 
