unit;hazard;wst_oper;waste;geo\time;2016;2014;2012;2010;2008;2006;2004
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;BG;65;27;23;19;13;1;6
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;CY;87;36;13;9;10;13;25
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;CZ;98;97;91;73;54;63;77
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;DE;528;481;422;348;284;210;138
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;DK;649;630;612;601;604;592;0
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;EE;385;391;263;253;192;190;197
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;EL;: ;13;11;11;12;1;4
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;ES;82;76;70;54;56;81;74
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;EU28;253 s;213;201;174;162;145;143
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;FI;1035;821;1906;1836;1813;1726;1783
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;FR;247 p;203;178;188;188;164;242 s
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;HR;9;12;9;26;74;0;38
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;HU;105;124;97;86;76;57;28
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;IE;118;155;88;37;23;33;41
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;IS;2;12 b;44;54;70;: ;58
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;IT;91;43;44;40;42;45;46
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;LT;97;63;35;36;61;52;48
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;LU;410;378;68;62;78;: c;117
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;LV;64;85;75;30;8;5;14
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;ME;4;2;: ;: ;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;MK;: ;0;9;0;0;: ;: 
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;MT;0;0;0;0;0;0;0
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;NL;621;608;539;332;101;92;32
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;NO;712;632;851;262;439;407;255
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;PL;143;132;94;100;82;62;104
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;PT;113;30;165;169;146;161;249
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;RO;126;109;82;76;65;62;41
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;RS;12;8;7;4;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;SE;913;786;705;668;912;1126;1042
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;SI;112;130;159;138;155;210;196
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;SK;103;58;50;47;109;48;98
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;TR;10;7;6;2;2;0;0
KG_HAB;HAZ_NHAZ;RCV_E;TOTAL;UK;112;30;25;13;3;1;70
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;AL;: ;92;: ;: ;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;AT;2541;2189;1695;1457;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;BE;2952;2947;2869;2213;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;BG;850;493;245;260;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;CY;239;144;163;379;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;CZ;1074;908;801;705;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;DE;1988;1954;1900;1840;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;DK;1709;1833;1378;1402;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;EE;3257;3157;5975;1930;: ;: ;: 
KG_HAB;HAZ_NHAZ;RCV_R;TOTAL;EL;: ;200;265;477;: ;: ;: 
