unit,phenomenon,geo_nuts,2013
count,population,TR52,2406913
count,population,TR61,3017280
count,population,TR62,3975522
count,population,TR63,3189974
count,population,TR71,1546995
count,population,TR72,2401245
count,population,TR81,1032260
count,population,TR82,766303
count,population,TR83,2752803
count,population,TR90,2645584
count,population,TRA1,1078207
count,population,TRA2,1123161
count,population,TRB1,1711847
count,population,TRB2,2115729
count,population,TRC1,2715553
count,population,TRC2,3613746
count,population,TRC3,2179588
count,population,UKC1,1193162
count,population,UKC2,1445849
count,population,UKD1,496734
count,population,UKD3,2783397
count,population,UKD4,1482523
count,population,UKD6,921769
count,population,UKD7,1530512
count,population,UKE1,928909
count,population,UKE2,813302
count,population,UKE3,1385564
count,population,UKE4,2302229
count,population,UKF1,2179995
count,population,UKF2,1802808
count,population,UKF3,744408
count,population,UKG1,1329762
count,population,UKG2,1606240
count,population,UKG3,2870360
count,population,UKH1,2492091
count,population,UKH2,1851205
count,population,UKH3,1808147
count,population,UKI3,1166297
count,population,UKI4,2390560
count,population,UKI5,1905258
count,population,UKI6,1305540
count,population,UKI7,2100411
count,population,UKJ1,2389165
count,population,UKJ2,2868537
count,population,UKJ3,1972679
count,population,UKJ4,1826320
count,population,UKK1,2467531
count,population,UKK2,1323552
count,population,UKK3,557858
count,population,UKK4,1177705
count,population,UKL1,1956886
count,population,UKL2,1155919
count,population,UKM2,2085169
count,population,UKM3,2349308
count,population,UKM5,496536
count,population,UKM6,469148
count,population,UKN0,1875228
