phenomenon,unit,geo_nuts,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
GEN_HH,THS_T,MK00,440,441,451,425,455,,,,,,,,,
GEN_HH,THS_T,NL,7785,8131,8326,8373,8568,8721,8775,8637,8612,,,,,
GEN_HH,THS_T,NL11,281,298,302,301,308,313,321,320,316,,,,,
GEN_HH,THS_T,NL12,353,369,375,378,387,391,397,383,378,,,,,
GEN_HH,THS_T,NL13,265,272,282,283,285,290,286,288,295,,,,,
GEN_HH,THS_T,NL21,506,524,540,543,554,571,573,559,558,,,,,
GEN_HH,THS_T,NL22,911,951,972,973,995,1016,1026,1007,1006,,,,,
GEN_HH,THS_T,NL23,180,190,190,185,198,197,199,192,188,,,,,
GEN_HH,THS_T,NL31,581,604,611,610,622,639,645,626,624,,,,,
GEN_HH,THS_T,NL32,1244,1290,1320,1313,1338,1379,1379,1359,1353,,,,,
GEN_HH,THS_T,NL33,1603,1681,1713,1757,1798,1804,1790,1814,1802,,,,,
GEN_HH,THS_T,NL34,228,237,246,246,246,247,255,245,244,,,,,
GEN_HH,THS_T,NL41,1135,1196,1238,1245,1270,1301,1325,1283,1288,,,,,
GEN_HH,THS_T,NL42,498,519,537,539,567,573,579,561,560,,,,,
GEN_HH,THS_T,NO,1970.78,1916.5,,,,,,,,,,,,
GEN_HH,THS_T,NO01,438.89,433.9,,,,,,,,,,,,
GEN_HH,THS_T,NO02,156.86,159.71,,,,,,,,,,,,
GEN_HH,THS_T,NO03,429.08,405.85,,,,,,,,,,,,
GEN_HH,THS_T,NO04,298.83,286.89,,,,,,,,,,,,
GEN_HH,THS_T,NO05,320.25,305.31,,,,,,,,,,,,
GEN_HH,THS_T,NO06,158.77,164.94,,,,,,,,,,,,
GEN_HH,THS_T,NO07,168.1,159.9,,,,,,,,,,,,
GEN_HH,THS_T,RO,,3711.21,3813.16,4617.41,,,,,,,,,,
GEN_HH,THS_T,RO11,,367.01,362.78,630.39,,,,,,,,,,
GEN_HH,THS_T,RO12,,448.06,445.86,490.52,,,,,,,,,,
GEN_HH,THS_T,RO21,,547.01,516.99,608.45,,,,,,,,,,
GEN_HH,THS_T,RO22,,597.21,637.2,728.12,,,,,,,,,,
GEN_HH,THS_T,RO31,,567.06,544.95,543.17,,,,,,,,,,
GEN_HH,THS_T,RO32,,431.66,503.91,586.17,,,,,,,,,,
GEN_HH,THS_T,RO41,,389.78,406.98,520.81,,,,,,,,,,
GEN_HH,THS_T,RO42,,363.42,394.49,509.78,,,,,,,,,,
GEN_HH,THS_T,SI,535.73,545.13,583.12,610.13,637.81,643.41,653.13,623.19,608.48,,,,,
GEN_HH,THS_T,SI01,249.13,248.81,265.18,284.31,289.98,315.41,331.97,308.3,301.71,,,,,
GEN_HH,THS_T,SI02,286.6,296.32,317.94,325.82,347.83,328,321.16,314.89,306.77,,,,,
GEN_HH,THS_T,SK,1336.04,1349.79,1394.44,1418.89,1400.75,1413.1,1328.48,1294.17,1248.39,,,,,
GEN_HH,THS_T,SK01,189.96,188.08,204.01,209.85,203.39,208.06,197.14,193.21,196.42,,,,,
GEN_HH,THS_T,SK02,517.85,526.15,546.24,548.71,547.36,548.18,518.93,496.68,477.85,,,,,
GEN_HH,THS_T,SK03,298.25,308.15,312.31,321.27,318.97,320.69,301.12,304.36,293.29,,,,,
GEN_HH,THS_T,SK04,329.98,327.41,331.88,339.06,331.03,336.17,311.29,299.92,280.83,,,,,
RCV_E,THS_T,AT,1715.35,1692.41,1678.01,1636.21,1440.4,1357.01,1453.11,1429.5,1309.8,1379.95,,,,
RCV_E,THS_T,AT11,42.16,41.78,40.14,28.12,20,19.53,20.71,,,11.56,,,,
RCV_E,THS_T,AT12,334.18,321.69,327.72,317.11,289.15,278.03,285.12,,,291.02,,,,
RCV_E,THS_T,AT13,564.94,556.62,563.69,541.38,579.83,568.53,577.37,,,607.55,,,,
RCV_E,THS_T,AT21,120.99,119.74,118.9,111.79,108.4,99.73,97.41,,,56.58,,,,
RCV_E,THS_T,AT22,146.61,143.64,145.75,145.26,112.76,109,118.47,,,148.92,,,,
RCV_E,THS_T,AT31,265.63,273.37,250.18,238.28,172.39,165.88,225.33,,,174.86,,,,
RCV_E,THS_T,AT32,58.86,58.45,58.76,80.1,57.66,56.99,63.82,,,53.32,,,,
RCV_E,THS_T,AT33,143.88,142.49,138.63,141.71,77.34,36.16,42.72,,,27.99,,,,
RCV_E,THS_T,AT34,38.1,34.63,34.24,32.46,22.87,23.16,22.16,,,8.15,,,,
RCV_E,THS_T,BE,2076.11,1963.47,1915.26,1893.6,1842.62,1909.2,1330.79,1326.78,1188.3,1184.11,1108.22,1127.05,1101.13,1058.16
RCV_E,THS_T,BE10,315.4,320.99,315.98,305.74,335.69,399.1,405.58,411.193,429.8,360.11,360.22,385.05,389.13,395.16
RCV_E,THS_T,BE21,281.26,271.97,255.15,267,239,244,232,226,195,177,162,153,139,108
RCV_E,THS_T,BE22,118.97,118.98,119.48,118,120,119,115,114,89,107,86,73,71,68
RCV_E,THS_T,BE23,251.35,251.97,238.07,233,216,221,224,236,156,140,120,115,120,118
RCV_E,THS_T,BE24,172.29,171.53,165.81,154,153,157,162,155,146,149,133,132,128,107
RCV_E,THS_T,BE25,224.02,176.47,173.45,223,227,240,247,246,247,251,247,269,254,262
RCV_E,THS_T,BE31,86.37,76.71,77.03,74.72,66.99,70.2,,,,,,,,
RCV_E,THS_T,BE32,255.22,224.76,218.64,205.52,185.28,153.3,,,,,,,,
RCV_E,THS_T,BE33,222.68,198.75,198.51,188.72,200.88,202.86,,,,,,,,
RCV_E,THS_T,BE34,59.73,71.76,72.42,46.99,43.13,41.79,,,,,,,,
RCV_E,THS_T,BE35,88.82,79.58,80.72,76.91,55.65,60.95,,,,,,,,
RCV_E,THS_T,CH,,,2732,2757,2660,2830,2680,2660,2440,2513,2510,2531,2357,2199
