phenomenon,unit,waste,geo_nuts,2016,2014,2012,2010,2008,2006,2004
RCV_R,KG_HAB,TOTAL,ME,13,16,,,,,
RCV_R,KG_HAB,TOTAL,MK,,0,33,161,,,
RCV_R,KG_HAB,TOTAL,MT,618,1193,280,288,,,
RCV_R,KG_HAB,TOTAL,NL,3745,3514,3574,3489,,,
RCV_R,KG_HAB,TOTAL,NO,897,868,858,515,,,
RCV_R,KG_HAB,TOTAL,PL,1981,2424,2126,2020,,,
RCV_R,KG_HAB,TOTAL,PT,407,526,437,456,,,
RCV_R,KG_HAB,TOTAL,RO,359,329,383,363,,,
RCV_R,KG_HAB,TOTAL,RS,192,180,110,78,,,
RCV_R,KG_HAB,TOTAL,SE,1660,1565,1968,1684,,,
RCV_R,KG_HAB,TOTAL,SI,1403,1367,1441,1206,,,
RCV_R,KG_HAB,TOTAL,SK,584,536,490,660,,,
RCV_R,KG_HAB,TOTAL,TR,418,298,4090,118,,,
RCV_R,KG_HAB,TOTAL,UK,1586,1490,1436,1489,,,
RCV_R_B,KG_HAB,TOTAL,AL,,92,,,,,
RCV_R_B,KG_HAB,TOTAL,AT,3299,3456,3172,1791,3863,3613,4453
RCV_R_B,KG_HAB,TOTAL,BE,2952,2947,2869,2213,1620,2194,
RCV_R_B,KG_HAB,TOTAL,BG,850,493,245,260,360,261,275
RCV_R_B,KG_HAB,TOTAL,CY,881,696,450,1665,947,242,412
RCV_R_B,KG_HAB,TOTAL,CZ,1703,1457,1290,1262,1294,1109,1543
RCV_R_B,KG_HAB,TOTAL,DE,3226,3114,3037,2954,3110,3048,2590
RCV_R_B,KG_HAB,TOTAL,DK,1709,1833,1378,1402,1872,1984,1621
RCV_R_B,KG_HAB,TOTAL,EE,4945,5031,9147,4473,4080,4609,2645
RCV_R_B,KG_HAB,TOTAL,EL,,699,758,1054,474,955,310
RCV_R_B,KG_HAB,TOTAL,ES,981,1083,1217,1724,1531,953,720
RCV_R_B,KG_HAB,TOTAL,FI,1687,2354,5855,5966,4301,3530,3304
RCV_R_B,KG_HAB,TOTAL,FR,2981,2913,2924,3096,3031,2771,2785
RCV_R_B,KG_HAB,TOTAL,HR,452,388,243,94,89,153,98
RCV_R_B,KG_HAB,TOTAL,HU,822,707,511,513,542,319,219
RCV_R_B,KG_HAB,TOTAL,IE,1399,1073,611,736,2320,3618,2854
RCV_R_B,KG_HAB,TOTAL,IS,2357,1836,1081,1009,1392,,283
RCV_R_B,KG_HAB,TOTAL,IT,1773,1640,1662,1570,1493,1301,991
RCV_R_B,KG_HAB,TOTAL,LT,630,438,357,343,426,371,305
RCV_R_B,KG_HAB,TOTAL,LU,11463,9091,12477,12158,10869,13603,11708
RCV_R_B,KG_HAB,TOTAL,LV,683,549,397,149,297,205,134
RCV_R_B,KG_HAB,TOTAL,ME,13,16,,,,,
RCV_R_B,KG_HAB,TOTAL,MK,,0,33,161,158,,
RCV_R_B,KG_HAB,TOTAL,MT,2667,2539,1314,427,430,357,126
RCV_R_B,KG_HAB,TOTAL,NL,3745,3514,3574,3489,4055,3779,3510
RCV_R_B,KG_HAB,TOTAL,NO,962,954,886,525,952,881,584
RCV_R_B,KG_HAB,TOTAL,PL,2933,3453,3049,2883,2787,3614,2555
RCV_R_B,KG_HAB,TOTAL,PT,496,526,437,456,434,793,967
RCV_R_B,KG_HAB,TOTAL,RO,398,381,434,371,398,220,305
RCV_R_B,KG_HAB,TOTAL,RS,244,180,110,78,,,
RCV_R_B,KG_HAB,TOTAL,SE,2337,1827,2049,1769,1065,1674,1453
RCV_R_B,KG_HAB,TOTAL,SI,2038,2251,1977,1896,1504,1004,1478
RCV_R_B,KG_HAB,TOTAL,SK,653,536,490,660,720,945,1222
RCV_R_B,KG_HAB,TOTAL,TR,,,,,206,21,142
RCV_R_B,KG_HAB,TOTAL,UK,1842,1826,1658,1752,2314,1790,1429
RCV_E,T,TOTAL,AL,,6144,,,,,
RCV_E,T,TOTAL,AT,,3523528,3308205,1364197,3904365,4377951,3630429
RCV_E,T,TOTAL,BE,5490423,5536496,4713913,4797443,4452593,1740316,629430
RCV_E,T,TOTAL,BG,461872,193684,171682,143940,94398,8430,47831
RCV_E,T,TOTAL,CY,74111,30894,11167,7481,8031,9903,17934
RCV_E,T,TOTAL,CZ,1032496,1016415,959049,767287,555769,650144,787987
RCV_E,T,TOTAL,DE,43488132,38987091,33953170,28422963,23315910,17320807,11391797
RCV_E,T,TOTAL,DK,3715843,3556470,3423602,3336298,3319510,3221341,0
RCV_E,T,TOTAL,EE,506587,513932,348519,336368,257234,256567,267861
RCV_E,T,TOTAL,EL,,137441,118046,126148,135183,15727,45715
RCV_E,T,TOTAL,ES,3829151,3535204,3269202,2523031,2551895,3612112,3173976
RCV_E,T,TOTAL,FI,5688462,4485159,10317071,9847135,9630933,9088258,9323847
RCV_E,T,TOTAL,FR,16505456,13383547,11637038,12202406,12055870,10385420,15108000
RCV_E,T,TOTAL,HR,35528,48843,39412,110067,320915,1957,163985
RCV_E,T,TOTAL,HU,1032554,1222780,960406,859331,766545,571549,285045
RCV_E,T,TOTAL,IE,559136,721092,403049,167689,103690,141713,168553
RCV_E,T,TOTAL,IS,695,3819,14246,17189,22362,,17000
RCV_E,T,TOTAL,IT,5503166,2598814,2593019,2372758,2459014,2633122,2640544
RCV_E,T,TOTAL,LT,277687,186127,105545,110821,194077,169827,161637
RCV_E,T,TOTAL,LU,238787,210212,36142,31630,38344,,53660
RCV_E,T,TOTAL,LV,124961,169798,152847,63461,18264,11230,31478
RCV_E,T,TOTAL,ME,2199,1392,,,,,
RCV_E,T,TOTAL,MK,,112,19322,30,100,,
RCV_E,T,TOTAL,MT,0,0,0,0,0,0,0
RCV_E,T,TOTAL,NL,10567736,10258157,9022998,5517622,1668319,1505669,519659
RCV_E,T,TOTAL,NO,3725386,3244689,4270918,1280454,2090892,1896209,1169029
RCV_E,T,TOTAL,PL,5412060,5012702,3566578,3804481,3121752,2381797,3978965
RCV_E,T,TOTAL,PT,1170911,310979,1734922,1791077,1545807,1692411,2614150
RCV_E,T,TOTAL,RO,2480323,2161887,1647589,1543628,1333230,1316853,888800
RCV_E,T,TOTAL,RS,84943,55633,49021,26698,,,
RCV_E,T,TOTAL,SE,9062161,7617027,6711785,6261041,8411250,10221594,9375147
RCV_E,T,TOTAL,SI,231365,268937,326157,282493,313752,421086,391788
RCV_E,T,TOTAL,SK,557782,313086,270205,255085,586362,259735,526080
RCV_E,T,TOTAL,TR,801024,565532,440023,119117,142677,0,0
RCV_E,T,TOTAL,UK,7331068,1937877,1584683,797767,170888,54245,4224160
RCV_R,T,TOTAL,AL,,265439,,,,,
RCV_R,T,TOTAL,AT,22198093,18704932,14286481,12186266,,,
RCV_R,T,TOTAL,BE,33449897,33037345,31870399,24106924,,,
RCV_R,T,TOTAL,BG,6058119,3560458,1788520,1922353,,,
RCV_R,T,TOTAL,CY,203853,122846,141113,314613,,,
RCV_R,T,TOTAL,CZ,11343799,9552414,8420104,7389484,,,
RCV_R,T,TOTAL,DE,163716974,158205269,152807322,150504040,,,
RCV_R,T,TOTAL,DK,9791108,10347151,7705564,7778942,,,
RCV_R,T,TOTAL,EE,4285211,4150328,7903007,2569221,,,
RCV_R,T,TOTAL,EL,,2174842,2927926,5307567,,,
RCV_R,T,TOTAL,ES,39581445,37298137,48745406,74575394,,,
RCV_R,T,TOTAL,FI,9271982,12854027,31700341,29099941,,,
RCV_R,T,TOTAL,FR,167787096,160490841,151724096,159002410,,,
RCV_R,T,TOTAL,HR,1737247,1575232,994143,403242,,,
RCV_R,T,TOTAL,HU,7558552,6467831,4636508,4706707,,,
RCV_R,T,TOTAL,IE,1242785,1268031,826823,1288699,,,
RCV_R,T,TOTAL,IS,242817,228185,343933,319182,,,
RCV_R,T,TOTAL,IT,107348228,99397493,98808500,92699517,,,
RCV_R,T,TOTAL,LT,1608186,1171328,999034,1062396,,,
RCV_R,T,TOTAL,LU,3934231,3694650,4690649,6072387,,,
RCV_R,T,TOTAL,LV,1316595,1077276,807758,312398,,,
RCV_R,T,TOTAL,ME,8016,9804,,,,,
