wst_oper,unit,geo\time,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
DSP_I,THS_T,HR04,0.02267,0.014,0.00906,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,HU,0,0,0,0,0.1,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,HU10,0,0,0,0,0,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,HU21,0,0,0,0,0.06,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,HU22,0,0,0,0,0,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,HU23,0,0,0,0,0,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,HU31,0,0,0,0,0.04,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,HU32,0,0,0,0,0,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,HU33,0,0,0,0,0,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,IE,: ,: ,: ,0,0.08,0.05,0,0,0,0,0,0,0,0
DSP_I,THS_T,IE01,: ,: ,: ,0,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,IE02,: ,: ,: ,0,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,IT,: ,: ,: ,12,18,30.99,31.84,38.76,48.65,49.99,59.12,163.1,90.89,170.64
DSP_I,THS_T,ITG1,: ,: ,0.03,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,ITI1,: ,: ,40.8,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,LT,0.264,0,1.68,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,LT00,0,0,2,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,LU00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,LV00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,MK,0,0,0,0,0,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,MK00,0,0,0,0,0,0,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,MT00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,NL,103,110,721,1835,3958,4066,3267,3253,3300,: ,: ,: ,: ,: 
DSP_I,THS_T,NL11,8,9,32,71,151,154 bd,12,10,19,: ,: ,: ,: ,: 
DSP_I,THS_T,NL12,3,3,25,67,143,145 bd,6,1,2,: ,: ,: ,: ,: 
DSP_I,THS_T,NL13,3,3,21,54,116,122 bd,10,14,38,: ,: ,: ,: ,: 
DSP_I,THS_T,NL21,6,7,47,117,254,266 bd,206,172,184,: ,: ,: ,: ,: 
DSP_I,THS_T,NL22,6,7,67,179,389,404 bd,191,201,201,: ,: ,: ,: ,: 
DSP_I,THS_T,NL23,2,2,14,38,89,89 bd,93,89,94,: ,: ,: ,: ,: 
DSP_I,THS_T,NL31,6,9,54,137,292,302 bd,310,307,311,: ,: ,: ,: ,: 
DSP_I,THS_T,NL32,17,18,133,339,721,748 bd,721,727,735,: ,: ,: ,: ,: 
DSP_I,THS_T,NL33,28,26,184,474,1024,1022 bd,1012,1067,1003,: ,: ,: ,: ,: 
DSP_I,THS_T,NL34,2,3,18,47,98,100 bd,98,83,85,: ,: ,: ,: ,: 
DSP_I,THS_T,NL41,18,18,92,226,486,508 bd,432,411,454,: ,: ,: ,: ,: 
DSP_I,THS_T,NL42,4,5,34,86,195,206 bd,176,171,174,: ,: ,: ,: ,: 
DSP_I,THS_T,NO,268.5,256.06,306.82,265.95,216.41,0,0,0,0,0,0,0,0,: 
DSP_I,THS_T,NO01,56.18,58.21,73.09,71.89,72.81,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,NO02,18.93,19.29,22.75,18.2,12.27,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,NO03,55.3,52.48,60.87,55.89,47.21,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,NO04,37.49,35.37,41.4,30.35,15.04,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,NO05,51.63,46.32,54.76,45.81,34.88,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,NO06,23.37,21.35,28.02,23.42,20.12,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,NO07,25.6,23.04,25.93,20.39,14.08,: ,: ,: ,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,PL,203,50.75,44.79,38.62,45.98,39.73,41,45.26,44.38,44,41.55,35.96,14.16,0
DSP_I,THS_T,PL11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL12,131.26,50.18,44.61,38.6,45.98,39.73,41,41.27,44.38,44,41.55,35.96,14.16,0
DSP_I,THS_T,PL21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL22,12.43,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL32,10.21,0.01,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL33,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL34,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL41,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL42,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL43,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL51,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL52,6.35,0,0,0,0,0,0,3.99,0,0,0,0,0,0
DSP_I,THS_T,PL61,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL62,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PL63,0.45,0.56,0.18,0.02,0,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,PT,0,0,0,0,0,0,0,0,0,0,0,0,: ,: 
DSP_I,THS_T,PT11,0,0,0,0,0,0,0,0,0,0,0,0,: ,: 
DSP_I,THS_T,PT15,0,0,0,0,0,0,0,0,0,0,0,0,: ,: 
DSP_I,THS_T,PT16,0,0,0,0,0,0,0,0,0,0,0,0,: ,: 
DSP_I,THS_T,PT17,0,0,0,0,0,0,0,0,0,0,0,0,: ,: 
DSP_I,THS_T,PT18,0,0,0,0,0,0,0,0,0,0,0,0,: ,: 
DSP_I,THS_T,PT20,0,0,0,0,0,0,0,0,0,0,0,0,: ,: 
DSP_I,THS_T,PT30,0,0,0,0,0,0,0,0,0,0,0,0,: ,: 
DSP_I,THS_T,RO,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RO11,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RO12,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RO21,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RO22,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RO31,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RO32,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RO41,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RO42,: ,0,0,0,: ,0,0,0,0,0,0,0,0,0
DSP_I,THS_T,RS,0,0,0,0,0,0,0,0,: ,: ,: ,: ,: ,: 
DSP_I,THS_T,SI,0.58,1.25,0.41,1.03,0.39,0.56,0.16,0,0,0,0,0,: ,: 
DSP_I,THS_T,SI01,0.58,0.46,0.41,0.51,0.29,0.55,0.12,0,0,0,0,0,: ,: 
DSP_I,THS_T,SI02,0,0.79,0,0.52,0.1,0.01,0.04,0,0,0,0,0,: ,: 
DSP_I,THS_T,SK,0,3.84,3.95,12.35,2.63,0.06,64.32,189.75,180.74,67.98,67.01,65.16,: ,: 
